IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1264985,3158456,6593362,8390750,8390750,8390750,5077666,5977494,ALU
1581524,3384460,6669883,8391469,8376709,8391469,5244223,3836276,ALU
1382058,2854512,6075896,8391523,8398776,8390885,6912702,3882497,ALU
1326151,3270619,7039594,8375640,8395491,8372859,5353990,3831885,ALU
1275117,3155906,6922312,8394685,8394685,8394685,5325091,3835925,ALU
856131,2815311,5553677,8388948,8402231,8388350,5011697,3509826,ALU
1282150,3205042,6934340,8395229,8395229,8395229,5243782,3821580,ALU
1772664,3754174,7708743,8390057,8375528,8394015,4978964,3564860,ALU
1577060,3615729,7638782,8395660,8394983,8395660,5443928,3746955,ALU
1494067,2946768,6211474,8395694,8374552,8395694,6936290,3926480,ALU
876800,2788331,5554868,8382795,8402888,8382102,5078463,3495830,ALU
1446803,3468534,7363849,8395857,8376052,8395857,5349992,3803163,ALU
1371305,2856655,6049238,8396174,8389680,8396174,6943276,3922699,ALU
1257231,3184647,6889445,8396761,8396761,8396761,5273451,3835951,ALU
1559329,3587143,7585552,8389602,8395336,8388585,5436946,3788447,ALU
1466799,3491522,7403901,8391930,8379614,8391261,5365976,3800600,ALU
1331861,3278223,7027996,8380120,8389590,8378009,5349666,3829726,ALU
1465378,3488000,7401805,8396077,8376210,8396077,5354570,3800959,ALU
1305085,3233749,6983794,8394190,8388045,8394190,5243682,3815205,ALU
1328478,3271440,7047782,8375281,8395449,8375571,5351602,3831318,ALU
708525,2662049,5406480,8383810,8404996,8343010,4900384,3552761,ALU
894396,2774689,5519285,8378256,8402672,8380656,5060217,3462872,ALU
1583411,3622757,7651400,8394645,8395658,8394466,5447455,3746814,ALU
965318,2797984,5527265,8366556,8402883,8380035,5057605,3394167,ALU
1606113,3638221,7654221,8395434,8392521,8395434,5388528,3722307,ALU
1280313,3209291,6947682,8394380,8394380,8394380,5221315,3814305,ALU
1517210,2968060,6286908,8385672,8380420,8384975,7051507,3941204,ALU
1509351,2940514,6285705,8379683,8398443,8378034,6971881,3862086,ALU
1452066,3439107,7313719,8395901,8395318,8375979,5421681,3755638,ALU
1318867,3248803,7034243,8374289,8395404,8383275,5352546,3833215,ALU
1517977,2970201,6287897,8387375,8373816,8391822,7101426,3992430,ALU
1495861,2936102,6239391,8387649,8389582,8386681,6922481,3877418,ALU
1280206,3212762,6957213,8393854,8393854,8393854,5207933,3809550,ALU
983873,2812260,5545175,8364185,8403051,8380417,5064334,3382893,ALU
1482520,2931720,6184220,8398001,8378081,8398001,6860333,3894311,ALU
1332082,3272599,7054671,8374961,8395428,8376811,5352127,3830530,ALU
1669321,3686653,7727718,8375259,8395253,8380367,5272070,3700710,ALU
1514561,2960466,6287512,8383777,8385850,8382777,7028796,3918500,ALU
1571327,3609291,7626714,8395662,8394218,8395662,5440028,3749274,ALU
1286627,3215013,6943271,8395013,8395013,8395013,5314706,3835323,ALU
836519,2908993,5647613,8401036,8380818,8401036,4986166,3806661,ALU
1592562,3623592,7656322,8393882,8395553,8395553,5412754,3731594,ALU
1289744,3220378,6946313,8394838,8393294,8394838,5319906,3834993,ALU
1322523,3254106,6970884,8387196,8379028,8394715,5347712,3829913,ALU
1246234,3164919,6886672,8396133,8396133,8396133,5289791,3837988,ALU
1279767,3146445,6412743,8385708,8386484,8386484,4840863,8179294,ALU
1288796,3155673,6426879,8384912,8386374,8386374,4838127,8173965,ALU
1313462,3245350,7009576,8390306,8377455,8394041,5284406,3829559,ALU
1429890,3445864,7326239,8394624,8376827,8395691,5347380,3805777,ALU
1586217,2988704,6447943,8383191,8392873,8392873,7174869,4006092,ALU
836349,2913432,5675868,8401018,8389569,8401018,5042807,3876612,ALU
842975,2852408,5582330,8394529,8401936,8394195,4973301,3530269,ALU
1268531,3190302,6899401,8396667,8396667,8396667,5275398,3834640,ALU
1413722,3411613,7282529,8390818,8379906,8395619,5348841,3809819,ALU
1314531,3250218,7006840,8393818,8375069,8393818,5268423,3827183,ALU
1283825,3193469,6915058,8396312,8396312,8396312,5283784,3833106,ALU
1535708,3559780,7539921,8395906,8387330,8395906,5405790,3791755,ALU
1303300,3213555,7010821,8372864,8395347,8394362,5354731,3836321,ALU
1754923,3716534,7708286,8385553,8379437,8394002,4978176,3564572,ALU
1225187,3122992,6882125,8395288,8395288,8395288,5156339,3827152,ALU
1317684,3256239,6948663,8394552,8378431,8394552,5336269,3829546,ALU
1005255,2806586,5523714,8357770,8403254,8376247,5041541,3347583,ALU
1503784,2929477,6292010,8378091,8399107,8384736,7012500,3904524,ALU
838462,2910368,5671254,8400749,8383026,8400749,5026132,3877135,ALU
766696,2699398,5445520,8383093,8404152,8356388,4957182,3528295,ALU
855509,2841123,5596084,8391573,8391138,8391121,5039575,3687951,ALU
873037,2767725,5516983,8381784,8402609,8380847,5061052,3483607,ALU
1664539,3661983,7767380,8373493,8394792,8382490,5237904,3673799,ALU
1332001,3241469,7061126,8373187,8393948,8395168,5350875,3829868,ALU
856465,2817987,5535901,8389166,8395204,8388564,4991640,3509462,ALU
1744094,3693130,7763964,8372997,8394382,8394382,4977223,3563915,ALU
857421,2855725,5621570,8392440,8391032,8392152,5049877,3700534,ALU
