IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1246987,2110875,3550163,5899775,6001011,3769595,1535745,1001103,PP
1303769,2195765,3683815,6054785,6061371,3635847,1578375,1019395,PP
1307555,2297513,3822675,6250681,6334715,3850887,1635149,1013503,PP
1233113,2130155,3628879,5805469,5820197,3545865,1555977,979955,PP
1266129,2240423,3720705,6198543,6304033,3640335,1571481,950845,PP
1313157,2300183,3792221,6089679,6116183,3639891,1600895,997329,PP
1165743,1986225,3447951,5448097,5374279,3069905,1475777,907761,PP
1292737,2264381,3788745,6178677,6269703,3624113,1642605,981631,PP
1311445,2219897,3707487,6188039,6167459,3737495,1608287,1012777,PP
1288635,2252983,3746775,6178747,6293057,3847137,1616703,1043639,PP
1185009,2048503,3512105,5742431,5853413,3547195,1514161,968455,PP
1214865,2122969,3631895,5993737,6041955,3608149,1540083,955335,PP
1256479,2147837,3577801,5972643,6112941,3787999,1539823,1019737,PP
1268705,2159483,3616505,6041427,6151349,3680439,1526551,982033,PP
1284687,2239051,3746497,6262541,6367143,3890165,1599091,1015413,PP
1268437,2145051,3615597,6137363,6274387,4007425,1536733,963677,PP
1120723,2028725,3499671,5874745,5983971,3656715,1474023,953821,PP
1251069,2176813,3675759,5947239,5947249,3740887,1602859,1040195,PP
1255541,2132049,3595149,5945821,5940263,3474395,1489625,962849,PP
1262565,2227305,3745637,6261363,6338161,3788919,1667307,979949,PP
1292857,2246749,3751233,6127609,6153119,3749491,1620469,1020369,PP
1241771,2115055,3552207,5971573,6184853,3857885,1555303,963109,PP
1314695,2315487,3862905,6315447,6345983,3634713,1616485,953989,PP
1271153,2131481,3624969,6181911,6336583,3873329,1592073,1037375,PP
1235913,2213485,3741769,6341305,6469291,3797503,1602545,954281,PP
1238141,2153165,3636195,6061599,6071299,3550915,1575423,955695,PP
1251887,2123323,3558457,5990077,6105547,3797093,1593163,1027391,PP
1239637,2107205,3504047,5944041,6151959,3819989,1498925,990435,PP
1253519,2102191,3556163,6038079,6203335,3928677,1543583,1019711,PP
1319179,2308109,3891805,6522045,6672809,3926749,1642139,992357,PP
1249285,2112917,3527775,5959631,6147735,3865989,1550851,1000341,PP
1282229,2243389,3734687,6227805,6395693,3813295,1593145,976675,PP
1276229,2166955,3611579,5948911,6037045,3666959,1560421,988881,PP
1220529,2012797,3472639,5680907,5510385,3311055,1512193,971743,PP
1252281,2120429,3566415,6066047,6211401,3790883,1501203,1028217,PP
1251047,2146143,3556285,5996291,6126259,3636341,1540681,989287,PP
1126521,1904449,3252427,5122929,4994079,2869783,1291423,762391,PP
1260315,2198729,3672365,6044541,6039669,3510017,1551035,896577,PP
1291139,2182551,3642923,6051619,6155081,3660555,1532275,964237,PP
1269403,2148281,3601345,5975381,6062807,3737875,1607613,1023339,PP
1279813,2241171,3727861,6266931,6386755,3865731,1598127,939131,PP
1273095,2157965,3573329,5974593,6123011,3786309,1581629,983657,PP
1240827,2158615,3606471,6005575,6084405,3656151,1570661,991575,PP
1268405,2132441,3614871,6245667,6431063,3961759,1566623,1007677,PP
1231273,2090243,3501347,5958757,6188557,3735509,1542665,1046421,PP
1261427,2129931,3572841,6037505,6199195,3789699,1563233,1020525,PP
1303183,2281371,3776413,6288415,6498823,3855751,1582207,966257,PP
1223427,2055201,3487581,6005725,6248619,3892237,1533263,996723,PP
1297475,2269917,3795071,6231381,6334951,3596081,1556431,920577,PP
1279331,2246069,3716205,6017931,6121797,3577761,1560031,965025,PP
1250897,2214589,3698753,6195007,6362323,3724999,1619745,943481,PP
1278867,2255253,3746881,6251431,6361031,3715001,1588405,948037,PP
1281451,2161949,3612783,5964783,6042385,3675119,1569517,986165,PP
1267649,2180353,3657751,6157747,6297009,3670059,1529457,898229,PP
1967309,3204987,7114113,8387491,8387285,8388603,4300915,3539659,Alu
2028275,3232553,6990047,8388687,8387257,8388005,3907893,3634229,Alu
1970257,3150509,7075623,8387335,8388841,8386441,3718989,3378525,Alu
2032993,3074147,7528493,8389079,8387479,8387579,4054593,3599447,Alu
1975255,3083853,6791309,8386947,8388143,8388801,3801315,3518213,Alu
2036775,3071825,7403909,8387261,8387329,8388921,4086427,3568497,Alu
2061161,2999393,7155563,8387065,8388819,8386891,4044301,3559443,Alu
1944633,3023091,7166655,8387703,8389025,8386879,4054771,3597877,Alu
1891809,3106873,6777231,8386769,8388055,8387531,3778035,3308657,Alu
1969647,3050241,7241407,8387101,8388231,8388539,3427041,3454395,Alu
1911929,2943045,6991913,8387737,8387223,8389043,3836647,3560087,Alu
2051787,2990307,7317543,8387501,8387593,8388521,3794881,3646425,Alu
1998811,3035703,7098629,8387571,8388487,8386861,3957849,3499885,Alu
1938963,2982809,6652877,8386639,8388167,8388405,4009275,3468567,Alu
1981303,3114843,7488465,8389101,8387259,8387487,4161207,3867221,Alu
2008093,3094739,7064551,8387827,8387489,8388901,3929691,3784341,Alu
1922059,3166457,8388121,8388295,8386373,8388183,4800779,3268261,Alu
2289579,4008331,7610449,8386555,8387841,8387299,5943195,4038609,Alu
1798057,2743493,7720789,8387773,8388961,8387475,4539667,4235111,Alu
1910341,2811041,7589145,8387237,8388809,8386667,4399567,3951915,Alu
1642647,2545185,6524115,8388665,8386657,8387681,4910745,3153361,Alu
1986019,3010893,7229727,8387403,8388219,8387865,3943041,3700463,Alu
2085401,3139831,7260703,8388441,8387063,8388395,3602771,3608725,Alu
2002291,3061947,7200483,8387861,8388309,8386883,3813379,3436905,Alu
1862319,3127505,7235567,8388845,8387975,8387309,3834147,3626043,Alu
2019281,3210385,7836225,8388027,8387073,8388429,4003983,3459667,Alu
2011915,3014341,7337121,8388933,8387009,8388027,3986287,3547139,Alu
2003383,3049599,7113007,8388279,8388481,8386891,4242577,3760591,Alu
2055767,3052327,7344279,8388293,8387999,8386381,3923717,3535197,Alu
2013895,3090643,7145195,8387575,8386815,8388599,4031377,3418995,Alu
1077451,1785643,3109817,5546613,5603895,3626225,1334249,961607,PE
1052625,1748347,3028651,5306543,5487807,3585253,1334789,974071,PE
1739425,2926135,4966239,8067771,7937157,4524493,2095275,1151195,PE
1642413,2833577,4663775,7823697,7816925,4410613,2112223,1122547,PE
1653071,2856789,4738421,7851083,7693037,4251337,2132563,1144937,PE
1101903,1791581,3238939,5899813,6373959,4382137,1368657,1124335,PE
1129473,1802043,3246809,5836165,5532875,3134283,1395683,1195429,PE
