IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1277935,2108805,3514465,5807351,6004429,3685507,1487559,950515,PP
1304201,2165725,3574071,5926947,6172965,3760621,1539917,934893,PP
1312169,2165621,3595055,5932091,6072305,3875901,1546421,991229,PP
1302101,2157511,3597793,5917763,5972927,3667893,1534437,969637,PP
1327723,2275317,3756559,6216919,6285593,3761977,1519639,930365,PP
1282449,2110701,3539025,5954543,6071385,3775427,1468867,908669,PP
1290817,2118469,3525783,5929695,6024421,3695037,1470551,960105,PP
1312765,2227003,3699319,6101087,6149717,3661937,1488107,896209,PP
1315523,2228303,3723423,6163647,6231193,3699445,1526623,936277,PP
1297327,2130643,3572169,6003433,6177293,3745175,1541345,947841,PP
1351569,2305359,3831793,6309285,6479093,3919791,1614009,986857,PP
1288451,2118395,3542011,5963919,6328523,3803079,1502657,952621,PP
1272027,2109963,3520109,5988869,6149543,3677627,1474259,913799,PP
1261767,2090127,3464103,5872405,6203747,3840139,1509965,962607,PP
1305335,2212727,3670765,5964999,6075285,3567117,1520897,940535,PP
1270537,2148051,3581579,5953503,6288803,3871593,1542049,973065,PP
1295203,2139629,3573709,5965069,6130453,3732673,1534311,1008545,PP
1299217,2192907,3649993,6000639,6142331,3697441,1499913,942917,PP
1302451,2157143,3583847,5915713,6025341,3529305,1486767,968623,PP
1303821,2154501,3592287,5976111,6055687,3514993,1480155,928899,PP
1354811,2294931,3804419,6124897,6159949,3581363,1546573,929423,PP
1308803,2164975,3579701,6011029,6241569,3874353,1523843,996045,PP
1306327,2222813,3698781,6137437,6355639,3872083,1641297,973029,PP
1307687,2233801,3736541,6210035,6330607,3758915,1644415,966067,PP
1298669,2132891,3575465,5937099,6086577,3810517,1539501,1006775,PP
1303343,2145209,3587761,5928163,6143391,3934231,1561893,1023197,PP
1319759,2257477,3727541,6041139,6110995,3608413,1543395,924761,PP
1331309,2275163,3756037,6039419,6095477,3645921,1567839,956663,PP
1274211,2111413,3513253,6034385,6263907,3817603,1498889,906991,PP
1286441,2122661,3557359,5981233,6229153,4007061,1535419,1004143,PP
1288483,2117311,3511433,5813331,6036593,3802619,1539839,989801,PP
1302569,2127909,3569481,5988209,6138209,3812463,1503145,966571,PP
1306143,2209103,3723589,6165091,6268333,3725409,1603247,972041,PP
1289531,2120699,3534163,5957083,6107245,3670669,1437297,885947,PP
1345905,2286693,3824149,6221953,6314793,3771635,1582943,967633,PP
1291731,2177319,3624269,5957445,6170775,3767587,1552149,944349,PP
1297237,2143669,3599607,6004133,6056255,3646421,1493129,907111,PP
1279719,3212450,6956844,8393842,8393842,8393842,5207363,3809554,ALU
1490746,2933552,6218857,8391136,8385734,8390482,6900998,3882951,ALU
1332945,3245347,7063133,8372285,8395283,8392621,5355555,3830054,ALU
1442130,3445634,7322931,8395792,8385915,8385529,5385106,3779555,ALU
1267639,3168366,6851235,8394725,8394725,8394725,5314302,3837371,ALU
1330283,3276982,7048966,8375633,8395472,8372856,5352023,3830991,ALU
1711408,3722734,7726409,8386650,8380197,8385595,5165467,3643409,ALU
1461183,3451748,7337230,8395789,8395789,8377869,5424342,3759080,ALU
1540844,2968323,6314995,8388361,8388361,8388361,6945613,3857676,ALU
1526033,2979965,6340004,8383051,8393661,8382119,6971525,3876064,ALU
1769622,3747851,7691535,8392287,8372354,8393894,4978973,3564958,ALU
1263417,3187743,6894895,8396710,8396710,8396710,5274517,3835234,ALU
1326227,3234369,7052471,8372049,8395276,8395276,5355633,3831431,ALU
1494169,3518171,7460636,8396417,8376455,8396417,5361665,3797542,ALU
1611769,3663706,7755278,8375264,8395398,8372251,5457034,3772738,ALU
1490054,2923619,6183570,8396708,8379877,8396708,6867990,3880630,ALU
1617531,3406303,6603929,8390326,8373480,8390326,5245667,3838230,ALU
825633,2906060,5568542,8402254,8382122,8401877,4867393,3555921,ALU
1293612,3221137,6959272,8394620,8394620,8394620,5275029,3822508,ALU
1296354,3222967,6964578,8394521,8394521,8394521,5257697,3817260,ALU
1553618,2958254,6394636,8380540,8395267,8395267,7144963,3999530,ALU
827869,2900339,5624333,8401460,8399142,8401460,4935801,3593026,ALU
1600369,3638781,7672695,8377626,8395603,8374437,5447221,3783864,ALU
1544418,3020086,6387609,8387810,8385418,8387810,6982871,3901337,ALU
873526,2804095,5571643,8384729,8402855,8384169,5070255,3504699,ALU
1521952,2988339,6316215,8391601,8383867,8391601,6926331,3891775,ALU
1327515,3235576,7054735,8372010,8395273,8395273,5355726,3831157,ALU
1242424,3181675,6889244,8396144,8396144,8396144,5251882,3831240,ALU
1498097,3520268,7462780,8395410,8387547,8395410,5398250,3796175,ALU
1278427,3162006,6933684,8392264,8394756,8394756,5328489,3835926,ALU
1440762,3447432,7325766,8395778,8384126,8387356,5378260,3784054,ALU
1238540,3162290,6753491,8394533,8394533,8394533,5167812,4870517,ALU
1281631,3206243,6938110,8394989,8394989,8394989,5237434,3819524,ALU
1470336,3341218,6711109,8368904,8384174,8384174,4783102,8066830,ALU
1538932,3566356,7551600,8394336,8378963,8393916,5379629,3792110,ALU
833072,2918185,5683022,8401436,8399713,8401436,5068662,3875800,ALU
865198,2823354,5567893,8387949,8397711,8387489,5029856,3513838,ALU
871618,2771949,5518498,8382410,8401979,8381500,5055105,3485775,ALU
1530833,2904670,6214102,8389805,8388691,8389805,6915959,3823946,ALU
1284681,3174655,6953229,8387455,8394898,8394898,5334777,3835989,ALU
1574651,3611021,7630822,8395579,8395579,8395579,5444660,3753027,ALU
1541752,2976605,6327575,8388239,8388239,8388239,6948958,3862486,ALU
1705852,3463384,6569526,8389253,8368310,8389253,5232277,3837923,ALU
1585303,3624729,7654287,8393165,8395658,8392723,5447584,3749596,ALU
1428272,3288375,6795975,8394084,8386951,8394084,5261797,3834445,ALU
1473781,3471624,7375099,8396163,8390133,8381806,5407370,3766162,ALU
770191,2710881,5465826,8383587,8404270,8357390,4967572,3533838,ALU
835149,2908896,5636742,8401230,8380972,8401230,4969487,3771525,ALU
1265739,3187393,6815922,8394783,8394783,8394783,5306859,3838115,ALU
1621731,3649164,7657343,8395287,8390479,8395287,5350235,3707597,ALU
1309530,3218720,7023091,8372561,8395319,8395319,5354433,3834974,ALU
