IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1105215,1715463,2971099,1280243,2247707,Rec
1607703,2593545,3961291,1984191,3188841,Rec
1612295,2576101,3737845,1952281,3040467,Rec
1643849,2717323,4176943,2067009,3347431,Rec
1685071,2729983,4138137,2090703,3340967,Rec
1555837,2522969,3641645,1929281,2994681,Rec
1844551,3074133,4817363,2326861,3839917,Rec
1768133,2919719,4594861,2218757,3654001,Rec
1603113,2586881,4026197,1969207,3253007,Rec
1758149,2940315,4633889,2221777,3683779,Rec
1169479,1942243,3151577,1486883,2575671,Rec
1404745,2349579,3544007,1778553,2862941,Rec
1432669,2375585,3605723,1812749,2921941,Rec
1395099,2360397,3541587,1778279,2869533,Rec
1394239,2369361,3563021,1781239,2884649,Rec
1740223,2961543,4631019,2206503,3667043,Rec
1724427,2948127,4628675,2231395,3707959,Rec
1623545,2782301,4292245,2076385,3432007,Rec
1073845,1800845,2809581,1434551,2392167,Rec
1063839,1801327,2869045,1388151,2348655,Rec
1323607,2155567,3412461,1647465,2708331,Rec
633651,1849431,2817549,1203411,2256483,Rec
633541,1825807,2769993,1166447,2231561,Rec
621847,1798425,2844063,1150459,2252149,Rec
769117,2123989,3389187,1354625,2675989,Rec
522307,1550803,2435249,1019059,1999371,Rec
448921,1454807,2450189,934705,1934653,Rec
781435,2412993,3754267,1518671,3000707,Rec
1433167,2468691,3738433,1846367,3017757,Rec
1433127,2459161,3717897,1843943,3003651,Rec
1427713,2416449,3602091,1820657,2925805,Rec
1373217,2325235,3469087,1768381,2860987,Rec
1441345,2403867,3643119,1819739,2939321,Rec
1517093,2539501,3905611,1920835,3137839,Rec
1518791,2553205,3907695,1925891,3138401,Rec
1549883,2673041,4091075,2001473,3293751,Rec
1486139,2570747,3886767,1919709,3138851,Rec
1428013,2388459,3568777,1808969,2907755,Rec
1276767,2104473,3270489,1603681,2621129,Rec
1121861,1771351,2896083,1382333,2295785,Rec
1521279,2550373,3865503,1926857,3118317,Rec
2498133,4328061,6723981,3237445,5380315,Rec
2402933,4202651,6597297,3136189,5264231,Rec
2477503,4279487,6666313,3206467,5330811,Rec
2490099,4327351,6706747,3229613,5366653,Rec
2458559,4289145,6632541,3201993,5318409,Rec
2509727,4324093,6755417,3241331,5398067,Rec
2503927,4331111,6761139,3239747,5397207,Rec
2040283,3860927,6032347,2809887,4833439,Rec
1846023,3295011,5367261,2289463,4046773,Rec
2234291,3875487,5482187,2902355,4567903,Rec
1964933,3695029,5518195,2688183,4493639,Rec
1470101,2573241,4074775,2097205,3513945,Rec
2297799,4087915,6228311,3030259,5026343,Rec
1973585,3543727,5397579,2867181,4580111,Rec
2295165,3934967,5647509,2955173,4672059,Rec
